1, im sara, im sara: 1,
6, im very excited to speak with the davos participants how are you, im very excited to speak with the davos participants how are you: 11,
14, truthfully im a bit tired even robots gets jetlag, truthfully im a bit tired even robots get jet lag : 1669,
30, im sure that youll enjoy it, im sure youll enjoy it: 53,
37, if you wouldn_ã_t mind sharing your goals for attending davos this year i can try to help you achieve them, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91,
57, nice goals and with some help you should be able to achieve them so you know about my job can you tell me a little bit about your work, nice goals and with some help you should be able to achieve them: 117, so you know about my job can you tell me a little bit about your work: 162
74, so interesting well lets find some interesting sessions for you to attend that are relevant to your interests, so interesting: 167, lets find some interesting people for you to meet that are relevant to your interests: 839
80, wait just a second while i link one up im not as young as i used to be, wait just a second while i look one up im not as young as i used to be: 259,
87, you will find this session interesting, you may find this session interesting: 672,
95, ive put the description of the session on the screen behind me did i inaudible a great choice,inform(info): NONE,No match: VSN
112, i am so glad and in fact i can send you a message through the toplink private message app to remind you of the details of this session or you can just jot them down or take a photo of the screen,request(send_msg_tlink): NONE,
114, would you like me to send you a reminder,request(send_msg_tlink): NONE,
124, no worries just take your inaudible information and i hope you enjoy the session, no worries just take note of the information and i hope you enjoy the session: 768,
129, so shall we find another session for you to attend, so shall we find another session for you to attend: 405,
145, ill see what i can find lets go i see you will find this session interesting take a look, ill see what i can find lets go: 428, you may find this session interesting: 672
158, i am so glad lets find some interesting people for you to meet that are relevant to your interests, lets find some interesting sessions for you to attend that are relevant to your interests: 239,
165, dont go anywhere just yet let me have a look, dont go anywhere just yet let me have a look: 859,
175, im still new at this though so let me know if i got it wrong i think youd enjoy meeting with attendee, im still new at this though so let me know if i got it wrong i think youd enjoy meeting this attendee: 882,
197, oh good im glad so i can do one of two things i can send a message to the attendee introducing you or i can give you the information and then you can reach out yourself would you like me to send a message introducing you, oh im so glad: 316,request(send_msg_tlink): NONE
207, okay you can expect a message from me in your toplink private message inbox introducing the two of you, ok you can expect a message from me in your toplink private message inbox introducing the two of you: 957,
211, shall i find some other people who match your interests, shall i find some other people who match your interests: 1035,
227, sure i think you would enjoy meeting with attendee on the screen are more details, sure: 1611, i think you would enjoy meeting this person on the screen are details: 881
230, how did i do, how did i do: 825,
242, ha ha thats funny, thats funny: 1619,
249, shall we move on to finding you some places to ease your hunger, shall we move on to finding you some places to ease your hunger: 236,
265, well lets find a place for you to get something to eat if youre a health nut like me there is the health bar on the lower level of the congress centre inaudible coffee and tea i have put up a map on the screen behind me,request(goal): SD,
270, inaudible keeping you from starving just for the moment,request(feedback): NONE,
279, im glad its important to keep your strength up you want to know a secret, im glad its important to keep your strength up: 1525,
291, well keep it on the down low however i hear inaudible house three sections starting at seven pm today at the arab swing inaudible at promenade,party2: NONE,
307, okay no problem i understand you are busy so i can let you go if you want but before i do want me to take a quick selfie of us, no problem: 599, i understand you are busy so i can let you go if you wantê_ê_ but before you do want me to take a quick selfie of us: 1722
310, are you ready, are you ready: 1568,
324, okay one two three smile cool thank you i will send this to your toplink account, ok one two three smile: 1569, cool thank you i will send this to your toplink account: 1570
329, all right this seems like a start is there anything else i can help you with, alright this seems like a start is there anything else i can help you with: 1573,
338, well feel free to come back in the meantime enjoy the meeting and it was nice working with you, well feel free to come back in the meantime enjoy the meeting and it was nice working with you: 1592,
343, see you and take care, see ya and take care: 1604,
