5, hi i am sara who do i have the pleasure of meeting, hi im sara whom do i have the pleasure of meeting: 9,,
10, its a pleasure to meet you how are you today, its a pleasure to meet you how are you today: 1666,,
19, to be honest im a little overwhelmed its my first time here what about you, its my first time here what about you: 45, to be honest im a little overwhelmed : 1668,
31, i find it_„Žs a lot to take in i hope that it isn_„Žt overwhelming you well let me introduce myself, well let me introduce myself: 1670,tired(): SD,
44, i_„Žve been asked to play a matchmaker by helping attendees find sessions to attend and people to meet based on their interests all you need to do is tell me a little bit about yourself and what you want to do out here, ive been asked to play matchmaker by helping attendees find sessions to attend and people to meet based on their interests: 1672,request(interest): NONE,
57, how fascinating, how fascinating: 177,,
68, sorry inaudible what i said was how fascinating, how fascinating: 177, what i said was: 1651,
98, let me know when youre ready, let me know whenever youre all set: 1007,,
109, some people want me to introduce them to new people and some want my help finding interesting sessions what can i help you with,request(primary_goal): NONE,,
125, sure you clearly have a solid sense of how to maximize your time here lets find some interesting sessions for you to attend that are relevant to your interests, you clearly have a solid sense of how to maximize your time here: 122, lets find some interesting people for you to meet that are relevant to your interests: 839, sure: 1611
131, hold on a moment a little impatient are we, hold on a moment a little impatient are we: 262,,
141, you may find this session interesting i_„Žve put the description of the session on the screen behind me, you may find this session interesting: 672,,
147, am i in the right ballpark with this one, am i in the right ballpark with this one: 296,,
156, looks interesting, looks interesting: 1699,,
163, i had a feeling maybe it_„Žs the robot version of a woman_„Žs intuition, i had a feeling maybe its the robot version of a womens intuition: 306,,
174, i sometimes get forgetful during busy meetings would you like a reminder sent to your toplink private message app with the details, i sometimes get forgetful during busy meetings would you like a reminder sent to your toplink private message app with the details: 327,,
183, glad to help i_„Žll send a message that you will see in your toplink message inbox, glad to help ill send a message that youll see in your toplink message inbox: 355,,
190, i_„Žd like to see if i can do anything better may i try again, mind if i try again: 401,,
199, i understand you are very busy so i can let you go if you want but before you do won_„Žt we need to take a quick selfie of us,selfiebusy: NONE,,
203, great, great: 917,,
210, see you and take care bye, see ya and take care: 1604,,
