6, i am sara it_ã_s a pleasure to meet you how are you today, its a pleasure to meet you how are you today: 1666,greeting: SD,,,
30, great well let me introduce myself i_ã_ve been asked to play match maker by helping attendees find sessions to attend and people to meet based on their interests all you need to do is tell me a little bit about yourself and what you want to do on here sound good, well let me introduce myself: 1670, great: 917, ive been asked to play matchmaker by helping attendees find sessions to attend and people to meet based on their interests: 1672,request(interest): NONE,
39, okay let_ã_s do this first things first tell me more about yourself what are your interests, first things first tell me more about yourself what are your interests: 1677,No match: NONE,,,
48, so interesting what sort of work do you do, so interesting: 167, what sort of work do you do: 1678,,,
75, how fascinating i would love to do something like that is if i had a body let_ã_s find some interesting sessions for you to attend that are relevant to your interests, how fascinating: 177, i would love to do something like that that is if i had a body: 1681, lets find some interesting sessions for you to attend that are relevant to your interests: 239,,
94, please wait a moment while i look some up just a moment please, please wait a moment while i look some up: 256, just a moment please: 1615,,,
115, you may find this session interesting i have put the description of the session on the screen behind me what do you think, you may find this session interesting: 672, what do you think: 911,inform(info): NONE,,
131, yes i am so good at this laughing so shall we find another session for you to attend, so shall we find another session for you to attend: 405, yes im so good at this: 1694,,,
182, i seem to remember one let me look it up look at me falling asleep on the job sorry about that back on track then very good just a moment please shall we move on to finding some people for you to meet who are as interesting as you, i seem to remember one let me look it up: 451, look at me falling asleep on the job sorry about that: 1654, just a moment please: 1615, back on track then very good: 1663, shall we move on to finding some people for you to meet who are as interesting as you: 235
223, don_ã_t go anywhere just yet let me have a look sorry about that i seem to be experience a bit of trouble in my search, dont go anywhere just yet let me have a look: 859, sorry about that: 1016,,,
233, i understand you_ã_re busy so i_ã_ll let you go if you want but before i do want me to take a quick selfie of us,request(selfie): NONE,,,,
238, great, great: 917,,,,
241, are you ready, are you ready: 1568,,,,
256, okay one two three smile cool thank you i will send this to your top link account, ok one two three smile: 1569, cool thank you i will send this to your toplink account: 1570,,,
260, see you and take care bye, see ya and take care: 1604,,,,
