5, hi i am sara its such a pleasure to meet you may i ask your name, hi im sara its such a pleasure to meet you might i ask your name: 10,,,
16, to be honest im in the middle of around a little overwhelmed its my first time here what about you, its my first time here what about you: 45, to be honest im a little overwhelmed : 1668,,
24, oh according to my experience and you are more experienced than i am maybe you should be the one helping people, oh youre more experienced than i am maybe you should be the one helping people: 66,,,
32, actually you see itm familiar have you ever known inaudiblewe ever met at another wef event, actually you seem familiar have we met at another wef event: 75,,,
41, im sorry i inaudible just saw you on the inaudible i havent met you, im sorry: 586,No match: PR,,
49, ah well let me introduce myself, well let me introduce myself: 1670,,,
67, ive been asked to clear the play a matchmaker by helping inaudible attendees find sessions to attend athe nd people to meet based on their interests my goal is to help you achieve your goals so you know about my job can you tell me a little bit about your work, ive been asked to play matchmaker by helping attendees find sessions to attend and people to meet based on their interests: 1672, so you know about my job can you tell me a little bit about your work: 162, my goal is to help you achieve your goals: 93,
77, how fascinating fast do you think that session to that’s such important work, how fascinating: 177,give_feedback(): PR,,
86, let me see if i can find some more interesting people for you to meet, let me see if i can find some new and interesting people for you to meet: 848,,,
106, just wait a minute while i look this up actually can you tell me more about yourself, just one minute while i look this up: 860, might you tell me more about yourself: 156,,
150, brilliant thanks just a moment please inaudible it would be my honored to introduce you to john inaudible the details are behind me im so curious did i make a good match, it would be my honor to introduce you to personname the details are behind me: 896, im so curious did i make a good match: 903, just a moment please: 1615, brilliant: 505
183, i see well in that case well let’s find someone interesting to meet im feeling a little adventurous, lets find someone interesting to meet im feeling a little adventurous : 1700,,,
186, just a moment please, just a moment please: 1615,,,
215, sorry im not as young as i used to be,other(): SD,,,
229, its hard to inaudible believe that you two famous beings havent met so let me know if inaudible person on the screen behind me well what do you think, well what do you think: 901,inform(info): PR,,
243, i see great, great: 917,,,
273, yes of course just a minute im still new at this though so let me know if i got it wrong i think you inaudible ‘d enjoy meeting this attendee what do you think, im still new at this though so let me know if i got it wrong i think youd enjoy meeting this attendee: 882, well what do you think: 901, of course: 141, yes: 1612
298, im sorry i didnt do a good job would it be all right with you if i try again, im sorry i didnt do a good job would it be all right with you if i try again: 826,,,
316, here’s just inaudible who matches matches wherewhat  you told me about your interests i’ve have put more details up on the screen is this better,inform(info): NONE,,,
328, shall we move on to finding you some interesting sessions to attend, shall we move on to finding you some interesting sessions to attend: 237,,,
355, wait just a second while i look one up the my search capabilities are a little inaudible slow heres a session that might merit yourthe time i’ve displayed the information on the screen behind me i might get a right ballpark with this one, heres a session that might merit your time ive displayed the information on the screen behind me: 285, wait just a second while i look one up my search capabilities are a little slow: 257,No match: VSN,
404, sure let me scantay on my hard drive woops i mean inaudiblebrain i know i would enjoy the session called within it what if pregnancy becomes obsoleteinaudible take a look at the details behind me would it be worth your time to attend with this one, i know i would enjoy the session called sessionname take a look at the details behind me: 275, would it be worth your time to attend this one: 303,No match: NONE,
424, i sometimes get forgetful the journey during these inaudiblemeetings would you like to a reminder yourself sent to your talk toplink private message out app with the details, i sometimes get forgetful during busy meetings would you like a reminder sent to your toplink private message app with the details: 327,,,
430, whatever youi want to do is that, whatever you want to do is best have a good time: 373,,,
437, i understand you awere busy so i can inaudiblelet you go if you want,request(selfie): NONE,,,
441, but before you do you like won’t we need to take a quick selfie of us,request(selfie): NONE,,,
448, i enjoyed helping you come back if you need anything,farewell: SD,,,
450, have a good meeting,farewell: SD,,,
453, see you and you take care, see ya and take care: 1604,,,
454, bye, bye: 1605,,,
