5, hi im so glad youre here im sara whats your name, hi im so glad youre here im sara whats your name: 2,,,
12, im very excited to speak with the davos participants how are you, im very excited to speak with the davos participants how are you: 11,,,
24, im in davos to assist attendees but to be honest i am a little anxious about it its my first time here what about you, its my first time here what about you: 45, im in davos to assist attendees but to be honest im a little anxious about it: 23,,
37, im finding it a bit overwhelming i imagine that you are too if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them, im finding it a bit overwhelming i imagine that you are too: 55, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91,,
46, im always interested in learning why people attend what are your goals for this trip, im always interested in learning why people attend what are your goals for this trip: 104,,,
66, excellent goals so you know about my job can you tell me a little bit about your work, excellent goals: 113, so you know about my job can you tell me a little bit about your work: 162,,
97, thats really intriguing lets find some interesting sessions for you to attend that are relevant to your interests wait just a second while i look one up my search capabilities are a little slow does this look like a session you would like to attend, thats really intriguing: 175, lets find some interesting sessions for you to attend that are relevant to your interests: 239, wait just a second while i look one up my search capabilities are a little slow: 257, does this look like a session youd like to attend: 486
125, im so glad in fact i can send you a message to the toplink private message app to remind you of the details of this session or you can just jot them down or take a photo of the screen would you like me to send you a reminder, im so glad: 305,request(send_msg_tlink): NONE,,
138, okay sending the message to toplink now inaudible for special administrative powers so shall we find another session for you to attend,send_msg(): SD, so shall we find another session for you to attend: 606,,
164, i think i remember one that matches your quirky personality you may find this session interesting take a look would you enjoy this session, you may find this session interesting take a look: 470, i think i remember one that matches your quirky personality: 656,,
180, brilliant so as you know i can either send you a message about the session details or you could just note them down yourself would you like me to send you a message, brilliant: 505,request(send_msg_tlink): NONE,,
195, have a look at my message in your toplink private message inbox shall we move on to finding some people for you to meet who are as interesting as you, have a look at my message in your toplink private message inbox: 547, shall we move on to finding some people for you to meet who are as interesting as you: 235,,
206, okay no problem shall we move on to finding interesting places to ease your hunger, no problem: 599,,,
232, there are several food options in the congress centre and some great restaurants throughout davos if you_—Ère a health nut like me there_—Ès the health bar on the lower level of the congress centre for juices coffee and tea ive printed the map on the screen behind me i bet those pastries will be amazing are you okay for now, there are several food options in the congress center and some great restaurants throughout davos: 1480,outcome_food_recommendation: SD,,
248, oh good i am always grumpy if i dont get a snack around i understand you are busy so i can let you go if you want but before you do you want me to take a quick selfie of us,No match: SD, i understand you are busy so i can let you go if you want’_’_ but before you do want me to take a quick selfie of us: 1722,,
263, are you ready okay one two three smile take a look at your toplink inbox to see our selfie, are you ready: 1568, take a look at your toplink inbox to see our selfie : 1572, ok one two three smile: 1569,
269, all right this seems like a start is there anything else i can help you with, alright this seems like a start is there anything else i can help you with: 1573,,,
279, well enjoy the conference if im not allowed to attend with these sessions someone else ought to be, well enjoy the conference if im not allowed to attend any of these sessions someone else ought to be: 1601,,,
282, see you and take care, see ya and take care: 1604,,,
283, bye, bye: 1605,,,
