4, hi im so glad youre here i am sara whats your name, hi im so glad youre here im sara whats your name: 2,
14, im very excited to speak with the davos participants how are you, im very excited to speak with the davos participants how are you: 11,
23, im in davos to assist attendees but to be honest i_„Žm a little anxious about it, im in davos to assist attendees but to be honest im a little anxious about it: 23,
31, it is people like you who make davos an amazing event really it is its my first time here what about you, it is people like you who make davos an amazing event really it is: 41,request(first_time): SD
43, wow you must a global rock star to be invited so many times, wow you must be a global rockstar to be invited so many times: 72,
55, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91,
64, why are you here what are your goals in attending davos this year, why are you here what are your goals in attending davos this year: 102,
88, yes i think thats what i would want to get out of attending too i mean if i were a real person, yes i think thats what i would want to get out of attending too i mean if i were a real person: 115,
94, its obvious you are an important person can you tell me about what you do, its obvious youre an important person can you tell me about what you do: 166,
112, thats such important work, thats such important work: 176,
125, thank you for your service, thank you: 1627,
132, shall we move on to finding some people for you to meet who are as interesting as you, shall we move on to finding some people for you to meet who are as interesting as you: 235,
140, this is my favorite part let me look this up one minute, this is my favorite part let me look this up one minute: 861,
146, i think you_„Žd enjoy meeting this attendee on the screen are some more details, i think you would enjoy meeting this attendee on the screen are some more details: 879,
156, lets find someone you dont know im feeling adventurous,request(another_reco): NONE,
167, i wonder if you have met this attendee i think you two would really get along more details are on the screen behind me, i wonder if youve met this attendee i think you two would really get along more details are on the screen behind me: 880,
173, lovely, lovely: 918,
189, so i can do one of two things i can send a message to the attendee introducing you or i can give you the information and you can reach out yourself would you like me to send a message introducing you,request(send_msg_tlink): NONE,
205, okay no problem i understand you are busy so i can let you go if you want but before you do won_„Žt we need to take a quick selfie of us, no problem: 599,request(send_msg_tlink): NONE
208, are you ready, are you ready: 1568,
229, okay one two three smile okay one inbox to see our selfie take a look all right this seems like a start is there anything else i can help you with, ok one two three smile: 1569, alright this seems like a start is there anything else i can help you with: 1573
238, well feel free to come back in the meantime enjoy the meeting and it was nice working with you, well feel free to come back in the meantime enjoy the meeting and it was nice working with you: 1592,
240, bye, bye: 1605,
