5, hi im so glad youre here im sara whats your name, hi im so glad youre here im sara whats your name: 2,,,
13, im very excited to speak with the davos participants how are you, im very excited to speak with the davos participants how are you: 11,,,
27, so im here in davos to be your personal assistant and help you to get the most out of the wef experience so is this your first time at davos or have you been before, so is this your first time at davos or have you been before: 43, so im here in davos to be your personal assistant and help you to get the most out of the wef experience: 21,,
31, you know your way around then, you know your way around then: 64,,,
38, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91,,,
53, excellent goals so you know about my job can you tell me a little bit about your work, excellent goals: 113, so you know about my job can you tell me a little bit about your work: 162,,
66, i_ã_d love to do something like that lets find some interesting sessions for you to attend that are relevant to your interests, id love to do something like that: 169, lets find some interesting sessions for you to attend that are relevant to your interests: 239,,
87, please wait a moment while i look some up you may find this session interesting i_ã_ve put the description of the session on the screen behind me does this look like a session you would like to attend, please wait a moment while i look some up: 256, you may find this session interesting: 672,inform(info): NONE,
119, i had a feeling maybe its the robot version of a womans intuition so i can send a message through the toplink private message app to remind you of the details of the session or you can just jot them down or take a photo of the screen would you like me to send you a reminder what do you say, i had a feeling maybe its the robot version of a womens intuition: 306,No match: NONE,,
134, okay look for a message from me in your toplink private message inbox, ok look for a message from me in your toplink private message inbox: 341,,,
139, so shall we find another session for you to attend, so shall we find another session for you to attend: 405,,,
205, i will try just a moment those are popular sessions i tried asking but they wouldnt tell me i am so sorry about that lets find some interesting people for you to meet that are relevant to your interests dont go anywhere just yet let me have a look i wonder if you have met this attendee i think you two would really get along more details are on the screen behind me i wonder if you have met this attendee i think you, i tried asking but they wouldnt tell me i am so sorry about that: 1642, dont go anywhere just yet let me have a look: 859, let me look just a moment: 651, i wonder if youve met this attendee i think you two would really get along more details are on the screen behind me: 880
208, sounds like somebody you would like to meet,request(feedback): NONE,,,
226, lovely so i can do one of two things i can send a message to the attendee introducing you or i can give you the information and you can reach out yourself would you like me to send a message introducing you, lovely: 918,request(send_msg_tlink): NONE,,
235, okay you can expect the message from me in your toplink private message inbox introducing the two of you,send_msg(): NONE,,,
239, shall we move on to finding interesting places to ease your hunger, shall we move on to finding you some places to ease your hunger: 236,,,
259, there are several food options in the congress centre and some great restaurants throughout davos im a fan of the health bar on the lower level and the restaurants up inaudible promenade will that keep you from starving just for the moment, there are several food options in the congress center and some great restaurants throughout davos: 1480, im a fan of the health bar on the lower level and restaurants up and down promenade: 1481,,
270, im glad its important to keep your strength_ã_go if you want but before you do won_ã_t we need to take a quick selfie of us,selfiebusy: NONE,,,
279, are you ready, are you ready: 1568,,,
292, okay one two three smile cool thank you i will send this to your toplink account, ok one two three smile: 1569, cool thank you i will send this to your toplink account: 1570,,
298, okay this has been fun is there anything else i can help you with, okay this has been fun is there anything else i can help you with: 1579,,,
309, i wish,pre_closing: NONE,,,
331, my developers designed some clever algorithms to predict what would be a good match for you based on your interests, my developers designed some clever algorithms to predict what would be a good match for you based on your interests: 1628,,,
339, you must understand that i take my job very seriously no time for chitchat theres work to be done, you must understand that i take my job very seriously no time for chit chat theres work to be done: 1644,,,
344, see you and take care, see ya and take care: 1604,,,
