5, hi i am sara with whom do i have the pleasure of meeting, hi im sara whom do i have the pleasure of meeting: 9,
12, thank you for allowing me to be your personal assistant, thank you for allowing me to be your personal assistant: 20,
16, to be honest i am a little overwhelmed, to be honest im a little overwhelmed : 1668,
17, are you,other(): NONE,
23, its my first time here what about you, its my first time here what about you: 45,
27, thats great, thats great im looking forward to working with a davos insider like you: 73,
31, im looking forward to working with a davos insider like you, thats great im looking forward to working with a davos insider like you: 73,
38, this event is pretty hard to navigate i hope i can help, this event is pretty hard to navigate i hope i can help: 95,
44, im always interested in learning why people attend what are your goals for this trip, im always interested in learning why people attend what are your goals for this trip: 104,
76, i can recommend to you people to meet or sessions to attend,feedback_goal_not_identified: NONE,
81, i can even tell you about the options can i help you inaudible those,feedback_goal_not_identified: NONE,
97, sorry for inaudible what i said was i can recommend people to meet or sessions to attend i can even tell you about the adoptions can i help you inaudible those,feedback_goal_not_identified: NONE,
103, yes, yes: 1612,
107, yes, yes: 1612,
117, shall we move on to finding you some interesting sessions for you to attend, shall we move on to finding you some interesting sessions to attend: 237,
122, please wait a moment while i look some up, please wait a moment while i look some up: 256,
132, you may find this session interesting i have put the description of the session on the screen behind me, you may find this session interesting: 672,inform(info): NONE
139, yes, yes: 1612,
143, will attending this session be enjoyable for you, would attending this session be enjoyable for you: 299,
149, great, great: 917,
161, tomorrow at 245,other(): NONE,
164, yes just a moment, just a moment: 1125, yes: 1612
180, you will find this session interesting ive put the description of the session on the screen behind me, you may find this session interesting: 672,No match: NONE
193, great just a moment please, great: 917, just a moment please: 1615
206, im sorry this is all the information i have, im sorry this is all the information i have : 1637,
215, let me see,other(): NONE,
229, just a moment please, just a moment please: 1615,
236, ah,acknowledgement: NONE,
248, you may find this session interesting ive put the description of the session on the screen behind me, you may find this session interesting ive put the description of the session on the screen behind me: 273,
253, i am so glad, im so glad: 305,
268, want me to find something new to do,other(): NONE,
281, i understand you are busy so i can let you go if you want but before you do want me to take a quick selfie of us, i understand you are busy so i can let you go if you wantê_ê_ but before you do want me to take a quick selfie of us: 1722,
287, great are you ready, great: 917, are you ready: 1568
293, okay one two three smile, ok one two three smile: 1569,
303, inaudible thank you i will send this to your top link account, cool thank you i will send this to your toplink account: 1570,
306, i had so much fun with you,farewell: NONE,
311, enjoy the conference,farewell: NONE,
314, see ya and take care bye, see ya and take care: 1604, bye: 1605
