2, they call me sara whats your name, they call me sara whats your name: 3,,,
8, its a pleasure to meet you how are you today, its a pleasure to meet you how are you today: 1666,,,
25, great well let me introduce myself im in davos to assist attendees but to be honest i am a little anxious about it its my first time here what about you, im in davos to assist attendees but to be honest im a little anxious about it: 23, its my first time here what about you: 45, well let me introduce myself: 1670, great: 917
32, im finding it a bit overwhelming i imagine that you are too, im finding it a bit overwhelming i imagine that you are too: 55,,,
45, my goal is to help you achieve your goals why are you here what are your goals in attending davos this year, why are you here what are your goals in attending davos this year: 102, my goal is to help you achieve your goals: 93,,
67, you clearly have a solid sense of how to maximize your time here so you know about my job can you tell me a little bit about your work, so you know about my job can you tell me a little bit about your work: 162, you clearly have a solid sense of how to maximize your time here: 122,,
74, how fascinating, how fascinating: 177,,,
88, that is a lot of responsibility i admire your discipline, that is a lot of responsibility i admire your discipline: 233,,,
95, shall we move on to finding you some interesting sessions to attend, shall we move on to finding you some interesting sessions to attend: 237,,,
109, just a minute while i look one up ill go as i can session on the screen behind me you may find this session interesting i put the description of the session on the screen behind me, just a minute while i look one up ill go as fast as i can: 258,request(send_msg_tlink): NONE,,
116, i would love to know if this works what do you say, i would love to know if this works what do you say: 293,,,
134, im so glad in fact i can send you a message to your top link private message app to remind of the details of the session or you can just jot them down or take a photo of the screen would you like me to send you a reminder, im so glad: 504,request(send_msg_tlink): NONE,,
143, okay ill give it to you in a flash i like this shall we look for more sessions to attend, i like this shall we look for more sessions to attend: 406, okay ill get it to you in a flash: 343,,
159, great this one really caught my eye the description for strategic update the future of the digital economy is on my screen care to join this session for a bit, this one really caught my eye the description for sessionname is on my screen: 472, care to join this session for a bit: 487, great: 917,
174, brilliant want me to send you a top link message with the session details, want me to send you a toplink message with the session details: 1688, brilliant: 505,,
183, its on its way shall we move on to finding some people for you to meet who are as interesting as you, shall we move on to finding some people for you to meet who are as interesting as you: 235,send_msg(): NONE,,
216, just one minute while i look this up im very good at introducing people lets find you someone interesting to meet just a moment please im still new at this though so let me know if i got it wrong i think youd meeting this attendee well what do you think,do_session_recommendation_1st_time: NONE,,,
223, you dont sound so sure, you dont sound so sure: 1707,,,
232, shall we find some other people who match your interests, shall i find some other people who match your interests: 1035,,,
241, sure shall we move on to finding new interesting to ease your hunger, sure: 1611,request(goal): NONE,,
253, yes i understand that you are busy so i can let you go if you want but before you do you want me to take a quick selfie of us, i understand you are busy so i can let you go if you wantäó but before you do want me to take a quick selfie of us: 1722, yes: 1612,,
259, great are you ready, are you ready: 1568, great: 917,,
265, okay one two three smile, ok one two three smile: 1569,,,
275, this is inaudible of us thank you i will send this to your top link account, cool thank you i will send this to your toplink account: 1570,,,
283, i had so much fun with you come back and say hi again soon if you like enjoy the conference, i had so much fun with you come back and say hi again soon if youd like enjoy the conference: 1593,,,
287, see you and take care bye, see ya and take care: 1604, bye: 1605,,
