4, hi im so glad youre here im sara whats your name, hi im so glad youre here im sara whats your name: 2,,,,
13, im very excited to speak with the davos participants how are you, im very excited to speak with the davos participants how are you: 11,,,,
28, so ive been asked to help people get the most out of davos but the truth is that i feel a little nervous you must be a pretty big deal to be invited to davos is this your first time, so ive been asked to help people get the most out of davos but the truth is that i feel a little nervous: 24, you must be a pretty big deal to be invited to davos is this your first time: 52, its a big deal to be invited to davos is this your first time here: 51, help people like you out : 1680, you: 1667
45, i found its a lot to take in i hope that it isnt overwhelming i hope to help make your davos attendance worthwhile i know that important people like you are busy and have tight schedules i hope to help make your davos attendance worthwhile, i know that important people like you are busy and have tight schedules i hope to help make your davos attendance worthwhile: 100, ive found its a lot to take in i hope that it isnt overwhelming you: 56,,,
56, first things first tell me more about yourself what are your interests, first things first tell me more about yourself what are your interests: 1677,,,,
80, that’s awesome shall we move on,other(): ACK,No match: NONE,,,
86, im excited about some of these sessions lets find one relevant your interests, im excited about some of these sessions lets find one relevant to your interests: 241,,,,
92, please wait a moment while i look some up, please wait a moment while i look some up: 256,,,,
102, i think even you would find this interesting the description is behind me on the screen, i think even you would find this interesting the description is behind me on the screen: 277,,,,
108, was that helpful at all for you, was that helpful at all for you: 821,,,,
127, im so glad in fact i can send you a message through the toplink private message app to remind you of the details of the session or you can just jot them down or take a photo of the screen would you like me to send you a reminder, im so glad: 305,request(send_msg_tlink): NONE,,,
133, okay ill get it to you in a flash, okay ill get it to you in a flash: 343,,,,
138, so shall we find another session for you to attend, so shall we find another session for you to attend: 405,,,,
155, im a social butterfly i love meeting new people maybe we can start by finding you some interesting people to meet that are relevant to your interests, im a social butterfly i love meeting new people maybe we can start by finding you some interesting people to meet that are relevant to your interests: 842,,,,
170, don’t go anywhere just yet let me have a look i think inaudible a great individual for you to meet here are details, dont go anywhere just yet let me have a look: 859,inform(info): PR,,,
178, well what do you think, well what do you think: 901,,,,
196, lovely all right heres the information if youd like to send the message yourself though i know i hate sending first messages sometimes would you like me to send the message for you, lovely: 918,request(send_msg_tlink): NONE,,,
204, okay you can expect a message from me in your toplink private message inbox introducing the two of you, ok you can expect a message from me in your toplink private message inbox introducing the two of you: 957,,,,
209, shall i find some other people who match your interests, shall i find some other people who match your interests: 1035, shall i find some other people whose interests match yours: 1271,,,
234, good choice someone inaudible let me have another go i can almost guarantee you’re going to like this check out the details, i can almost guarantee youre going to like this check out the details: 1145, good choice: 1061,No match: NONE,,
240, how’d i do, how did i do: 825,,,,
266, okay no problem just a moment please sounds like someone youd like to meet, just a moment please: 1615,request(feedback): NONE,,,
273, that’s funny, thats funny: 1619,,,,
294, sure just a moment please howd i do, just a moment please: 1615, sure: 1611, howd i do: 1160,,
304, i had a feeling about this person, i had a feeling about this person: 1175,,,,
316, great i love helping, great i love helping: 1210,,,,
328, i understand you are busy so i can let you go if you want but before you do want me to take a quick selfie of us, i understand you are busy so i can let you go if you wantäó but before you do want me to take a quick selfie of us: 1722,,,,
331, are you ready, are you ready: 1568,,,,
345, okay one two three smile cool thank you i will send this to your toplink account, cool thank you i will send this to your toplink account: 1570, ok one two three smile: 1569,,,
349, until next time i wish you could stay longer, until next time i wish you could stay longer: 1574,,,,
353, see yah and take care, see ya and take care: 1604,,,,
