13, i have a good inaudible,greeting(): NONE,
25, sure just a minute please, just a minute: 1123, sure: 1611
37, just a moment please, just a moment please: 1615,
60, my developers designed some clever algorithms to predict what would be a good match for you based on your interests sound like somebody you are interested in meeting, my developers designed some clever algorithms to predict what would be a good match for you based on your interests: 1628, sound like somebody you might be interested in meeting: 1168
86, what do you think, what do you think: 911,
122, howard cox is the director of brown advisory a wealth management firm with in excess of 50 billion under management,other(): NONE,
133, you are hard to please,feedback_session_recommendation_1st_time_no: VSN,
139, shall we move on to finding you some places to ease your hunger, shall we move on to finding you some places to ease your hunger: 236,
153, there are several food inaudible in the congress centre and some great restaurants throughout davos inaudible, there are several food options in the congress center and some great restaurants throughout davos: 1480,
157, inaudible,other(): NONE,
161, please go ahead,request(send_msg_tlink): NONE,
164, okay, thats okay: 807,
170, no problem i understand that you are busy so i can let you go if you want, no problem: 599,request(selfie): NONE
174, but before i do want me to take a quick selfie of us,request(selfie): NONE,
177, are you ready, are you ready: 1568,
188, okay one two three smile cool thank you i will send this to your toplink account, cool thank you i will send this to your toplink account: 1570, ok one two three smile: 1569
191, feel free to pop over for another chat, feel free to pop over for another chat: 1575,
196, sure, sure: 1611,
198, are you ready, are you ready: 1568, you: 1667
203, okay one two three smile, ok one two three smile: 1569,
211, take a look at your toplink inbox to see our selfie, take a look at your toplink inbox to see our selfie : 1572,
214, until next time,pre_closing: NONE,
216, i wish you could stay longer,pre_closing: NONE,
219, inaudible,pre_closing: NONE,
225, sara, im sara: 1,
227, sara, im sara: 1,
232, bye, bye: 1605,
