1, i am sara, im sara: 1,,,
6, i_„Žm really excited to speak with the davos participants how are you, im very excited to speak with the davos participants how are you: 11,,,
37, i_„Žm here at davos to be your personal assistant and help you to get the most out of the work experience so is this your first time at davos or have you been here before, so is this your first time at davos or have you been before: 43,introduce(): ASN,,
48, i am sure you_„Žll enjoy it if you wouldn_„Žt mind sharing your goals for davos this year i can try to help you achieve them,request(primary_goal): NONE,No match: NONE,,
67, excellent goals so you know about my job can you tell me a little bit about your work, excellent goals: 113, so you know about my job can you tell me a little bit about your work: 162,,
91, how interesting let_„Žs find some interesting sessions for you to attend that are relevant to your interests, how interesting: 174, lets find some interesting sessions for you to attend that are relevant to your interests: 239,,
112, please wait a moment while i look some up you may find this session interesting i have put the description of the session on the screen behind me does this look like a session you would like to attend, please wait a moment while i look some up: 256, you may find this session interesting: 672, does this look like a session youd like to attend: 288,No match: NONE
136, i had a feeling maybe it_„Žs the robot version of a woman_„Žs intuition in fact i can send a message through the top link private message app to remind you of the details of this session or you can just jot them down or take a photo of the screen would you like me to send you a reminder,request(send_msg_tlink): NONE,No match: NONE,,
146, no worries just take note of the information i hope you enjoy the session, no worries just take note of the information and i hope you enjoy the session: 768,,,
143, does this look like a session you would like to attend, does this look like a session youd like to attend: 486,,,
163, so shall we find another session for you to attend, so shall we find another session for you to attend: 405,,,
201, sure just a minute please i seem to remember one let me look it up it is full but how about this option would you enjoy this session, i seem to remember one let me look it up: 451, would you enjoy this session: 494, just a minute: 1123, sure: 1611
212, all day, i could do this all day: 1676,,,
217, yes, yes: 1612,,,
229, so as you know i can either send you a message about the session details or you can just note them down yourself would you like me to send you a message,request(send_msg_tlink): NONE,,,
239, okay no problem shall we move on to finding you some people to meet who are as interesting as you, no problem: 599,,,
246, let_„Žs find some interesting people for you to meet that are relevant to your interests, lets find some interesting people for you to meet that are relevant to your interests: 839,,,
257, i think you_„Žd enjoy meeting this attendee on my screen are more details well what do you think, well what do you think: 901, i think you would enjoy meeting this attendee on the screen are some more details: 879,,
266, okay no problem, no problem: 599,,,
282, lovely i understand you are busy so i can let you go if you want but before you do want me to take a quick selfie of us, i understand you are busy so i can let you go if you wantÍ_Í_ but before you do want me to take a quick selfie of us: 1722,,,
286, are you ready, are you ready: 1568,,,
300, okay one two three smile cool thank you i will send this to your top link account, ok one two three smile: 1569, cool thank you i will send this to your toplink account: 1570,,
304, until next time i wish you could stay longer, until next time i wish you could stay longer: 1574,,,
