7,i am so glad youre here i am sara whats your name, hi im so glad youre here im sara whats your name: 2
15,im very excited to speak with the davos participants how are you, im very excited to speak with the davos participants how are you: 11,you: 1667
37,thats awesome so im here in davos to be your personal assistant and help you to get the most out of the work experience so is this your first time at davos or have you been before, so im here in davos to be your personal assistant and help you to get the most out of the wef experience: 21,so im a virtual personal assistant to help you to get the most out of your time at davos: 28,so is this your first time at davos or have you been before: 43,is this your first time attending davos or have you been before: 48,this is my first time in davos have you been here before: 1671,im so good at this: 923,im so good at this: 1178,im so good at this: 1390,thats awesome: 1614,you: 1667
46,wow you must be a global rock star to be invited so many times, wow you must be a global rockstar to be invited so many times: 72,you: 1667
53,if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91,would this help you achieve your goals: 709,mind if i try again: 401,you: 1667
78,yes i think thats what i would want to get out of attending too i mean if i were a real person, yes i think thats what i would want to get out of attending too i mean if i were a real person: 115,yes: 1612
83,so you know about my job can you tell me a little bit about your work, so you know about my job can you tell me a little bit about your work: 162,can you tell me about your job: 164,you: 1667
112,thats really intriguing this is my favorite part lets see if we can find some interesting people to meet, this is my favorite part lets see if we can find some interesting people to meet: 844,thats really intriguing: 175,really: 1730
116,dont go anywhere, lets go: 1058
148,sure just a minute please dont go anywhere just stay with me i am so sorry about that i tried asking but they wouldnt tell me, i tried asking but they wouldnt tell me i am so sorry about that: 1642,sorry about that: 585,sorry about that: 1016,just a minute: 1123,sorry about that: 1606,sure: 1611
178,back on track then youre doing good just wait and while were at this this up just wait while this up i think youd enjoy meeting this attendee on the screen are some more details, i think you would enjoy meeting this attendee on the screen are some more details: 879,i think you would enjoy meeting this attendee on the screen are more details: 1137,back on track then very good: 1663,good: 124,good: 931,enjoy: 1725
216,lets find somebody you dont know just wait and while i this up i think youd enjoy meeting this person on the screen are details, i think you would enjoy meeting this person on the screen are details: 881,you: 1667,enjoy: 1725
