5,hi im so glad youre here im sara whats your name, hi im so glad youre here im sara whats your name: 2,hi im sara whats your name: 0,im so glad: 305,im so glad: 504,im so glad: 711,im so glad: 919,im so glad: 1176,im so glad: 1389,im sara: 1
13,im very excited to speak with the davos participants how are you, im very excited to speak with the davos participants how are you: 11,you: 1667
27,so im here in davos to be your personal assistant and help you to get the most out of the wef experience so is this your first time at davos or have you been before, so im here at davos to be your personal assistant ill try to help you get the most out of your wef experience: 29,so im here in davos to be your personal assistant and help you to get the most out of the wef experience: 21,so im a virtual personal assistant to help you to get the most out of your time at davos: 28,so is this your first time at davos or have you been before: 43,is this your first time attending davos or have you been before: 48,this is my first time in davos have you been here before: 1671,im so good at this: 923,im so good at this: 1178,im so good at this: 1390,you: 1667
31,you know your way around then, you know your way around then: 64,you: 1667
38,if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91,would this help you achieve your goals: 709,mind if i try again: 401,you: 1667
53,excellent goals so you know about my job can you tell me a little bit about your work, so you know about my job can you tell me a little bit about your work: 162,can you tell me about your job: 164,excellent goals: 113,excellent: 928,you: 1667
66,i’d love to do something like that lets find some interesting sessions for you to attend that are relevant to your interests, lets find some interesting sessions for you to attend that are relevant to your interests: 239,lets find some interesting people for you to meet that are relevant to your interests: 839,lets find options for sessions you would like to attend: 251,id love to do something like that: 169,id love to do something like that: 212,you: 1667
87,please wait a moment while i look some up you may find this session interesting i’ve put the description of the session on the screen behind me does this look like a session you would like to attend, does this look like a session youd like to attend: 288,does this look like a session youd like to attend: 486,does this look like a session youd like to attend: 690,does this look like a session youd like to attend: 814,just hold on a moment while i look this up: 1560,just hold on a moment while i look this up: 1561,please wait a moment while i look some up: 256,you may find this session interesting take a look: 470,would you find a session like this interesting: 681,would you enjoy a session like this: 479,would you like to try this session: 498,please allow me a moment to look: 874,one moment while i look this up: 1119,one moment while i look this up: 1338,you may find this session interesting: 672,would you enjoy this session: 494,you: 1667
119,i had a feeling maybe its the robot version of a womans intuition so i can send a message through the toplink private message app to remind you of the details of the session or you can just jot them down or take a photo of the screen would you like me to send you a reminder what do you say, i can take care of the little details for you would you like me to send a reminder through toplink: 543,i had a feeling maybe its the robot version of a womens intuition: 306,want me to send you a toplink message with the session details: 1688,shall i send the details through toplink: 541,what more can i do: 315,so what do you think: 1375,what do you say: 1708,you: 1667
134,okay look for a message from me in your toplink private message inbox, ok look for a message from me in your toplink private message inbox: 341,okay youll see a message from me in your toplink inbox: 350
139,so shall we find another session for you to attend, so shall we find another session for you to attend: 405,so shall we find another session for you to attend: 606,you: 1667
205,i will try just a moment those are popular sessions i tried asking but they wouldnt tell me i am so sorry about that lets find some interesting people for you to meet that are relevant to your interests dont go anywhere just yet let me have a look i wonder if you have met this attendee i think you two would really get along more details are on the screen behind me i wonder if you have met this attendee i think you, i wonder if youve met this attendee i think you two would really get along more details are on the screen behind me: 880,lets find some interesting people for you to meet that are relevant to your interests: 839,lets find some interesting sessions for you to attend that are relevant to your interests: 239,i think you would enjoy meeting this attendee on the screen are some more details: 879,i tried asking but they wouldnt tell me i am so sorry about that: 1642,i think you would enjoy meeting this attendee on the screen are more details: 1137,i think that you two would have a lot to talk about: 1368,would you let me try to meet your expectations once more: 625,dont go anywhere just yet let me have a look: 859,let me get to work just a moment: 1340,let me look just a moment: 651,let me look just a second: 649,i am sorry to disappoint: 378,have i impressed you yet: 722,sorry if i confused you: 1652,sorry about that: 585,sorry about that: 1016,just a moment: 1125,sorry about that: 1606,i think so: 1621,so interesting: 167,lets go: 1058,you: 1667,really: 1730
208,sounds like somebody you would like to meet, you: 1667
226,lovely so i can do one of two things i can send a message to the attendee introducing you or i can give you the information and you can reach out yourself would you like me to send a message introducing you, lovely: 918,you: 1667
235,okay you can expect the message from me in your toplink private message inbox introducing the two of you, you: 1667
239,shall we move on to finding interesting places to ease your hunger, shall we move on to finding you some places to ease your hunger: 236
259,there are several food options in the congress centre and some great restaurants throughout davos im a fan of the health bar on the lower level and the restaurants up inaudible promenade will that keep you from starving just for the moment, im a fan of the health bar on the lower level and restaurants up and down promenade: 1481,there are several food options in the congress center and some great restaurants throughout davos: 1480,will that keep you from starving just for the moment: 1513,will that keep you from starving just for the moment: 1522,just a moment: 1125,great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613,you: 1667
270,im glad its important to keep your strength…go if you want but before you do won’t we need to take a quick selfie of us, you: 1667
279,are you ready, are you ready: 1568,you: 1667
292,okay one two three smile cool thank you i will send this to your toplink account, cool thank you i will send this to your toplink account: 1570,ok one two three smile: 1569,thank you: 1627,cool: 178,cool: 217,you: 1667
298,okay this has been fun is there anything else i can help you with, okay this has been fun is there anything else i can help you with: 1579,this has been great anything else i can help with: 1580,you: 1667
309,i wish, i understand: 808,i apologize: 1027,i understand: 1070,i understand: 1302,i understand: 1311,i understand: 1454
331,my developers designed some clever algorithms to predict what would be a good match for you based on your interests, my developers designed some clever algorithms to predict what would be a good match for you based on your interests: 1628,good: 124,good: 931,you: 1667
339,you must understand that i take my job very seriously no time for chitchat theres work to be done, you must understand that i take my job very seriously no time for chit chat theres work to be done: 1644,i understand: 808,i understand: 1070,i understand: 1302,i understand: 1311,i understand: 1454,you: 1667
344,see you and take care, see ya and take care: 1604,you: 1667
