5,hi i am sara who do i have the pleasure of meeting, hi im sara whom do i have the pleasure of meeting: 9
10,its a pleasure to meet you how are you today, its a pleasure to meet you how are you today: 1666,you: 1667
19,to be honest im a little overwhelmed its my first time here what about you, its my first time here what about you: 45,to be honest im a little overwhelmed : 1668,you: 1667
31,i find it’s a lot to take in i hope that it isn’t overwhelming you well let me introduce myself, well let me introduce myself: 1670,you: 1667
44,i’ve been asked to play a matchmaker by helping attendees find sessions to attend and people to meet based on their interests all you need to do is tell me a little bit about yourself and what you want to do out here, ive been asked to play matchmaker by helping attendees find sessions to attend and people to meet based on their interests: 1672,you: 1667
57,how fascinating, how fascinating: 177,how fascinating: 1618,how fascinating: 1682
68,sorry inaudible what i said was how fascinating, what i said was: 1651,how fascinating: 177,how fascinating: 1618,how fascinating: 1682
98,let me know when youre ready, let me know whenever youre all set: 1007
109,some people want me to introduce them to new people and some want my help finding interesting sessions what can i help you with, you: 1667
125,sure you clearly have a solid sense of how to maximize your time here lets find some interesting sessions for you to attend that are relevant to your interests, lets find some interesting sessions for you to attend that are relevant to your interests: 239,lets find some interesting people for you to meet that are relevant to your interests: 839,you clearly have a solid sense of how to maximize your time here: 122,how interesting: 174,how interesting: 215,sure: 1611,you: 1667
131,hold on a moment a little impatient are we, hold on a moment a little impatient are we: 262,hold on: 1126
141,you may find this session interesting i’ve put the description of the session on the screen behind me, you may find this session interesting: 672,you: 1667
147,am i in the right ballpark with this one, am i in the right ballpark with this one: 296,am i in the right ballpark: 824
156,looks interesting, looks interesting: 1699
163,i had a feeling maybe it’s the robot version of a woman’s intuition, i had a feeling maybe its the robot version of a womens intuition: 306
174,i sometimes get forgetful during busy meetings would you like a reminder sent to your toplink private message app with the details, i sometimes get forgetful during busy meetings would you like a reminder sent to your toplink private message app with the details: 327,you: 1667
183,glad to help i’ll send a message that you will see in your toplink message inbox, glad to help ill send a message that youll see in your toplink message inbox: 355,you: 1667
190,i’d like to see if i can do anything better may i try again, mind if i try again: 401
199,i understand you are very busy so i can let you go if you want but before you do won’t we need to take a quick selfie of us, if you want we can take a selfie sound good: 1567,i understand: 808,i understand: 1070,i understand: 1302,i understand: 1311,i understand: 1454,you: 1667
203,great, great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613
210,see you and take care bye, see ya and take care: 1604,bye: 1605,you: 1667
