4,hi i’m so glad you’re here i’m sara what’s your name, so what brings you here: 193,you: 1667
11,nice of you to take the time to stop by so how are things, nice of you to take the time to stop by: 15,so how are things: 13,you: 1667
33,that’s awesome so i’ve been asked to help people get the most out of davos but the truth is that i feel a little nervous so i’ve been asked… it’s my first time here what about you, so ive been asked to help people get the most out of davos but the truth is that i feel a little nervous: 24,its my first time here what about you: 45,so what brings you here: 193,help people like you out : 1680,you: 1667
45,yes why are you here what are your goals in attending davos this year, why are you here what are your goals in attending davos this year: 102,yes: 1612,you: 1667
59,wonderful you clearly have a solid sense of how to maximize your time here, you clearly have a solid sense of how to maximize your time here: 122,wonderful: 123,you: 1667
70,i’m a social butterfly i love meeting many people maybe we can start by finding you some interesting people to meet that are relevant to your interests, im a social butterfly i love meeting new people maybe we can start by finding you some interesting people to meet that are relevant to your interests: 842,lets start by finding some interesting people for you to meet that are relevant to your interests: 841,you: 1667
91,i’m sorry for interrupting one second it will be my honor to dig up the right person for you here’s an attendee that matches what you told me about your interests i’ve put more details up on the screen well what do you think, heres an attendee who matches what you told me about your interests ive put more details up on the screen: 899,one second it will be my honor to dig up the right person for you: 878,i hope this one matches your interests what do you think: 290,well what do you think: 901,well what do you think: 905,what more can i do: 315,sorry for the mix up: 404,sorry for the mix up: 830,sorry for the mix up: 979,sorry for the mix up: 1073,sorry for the mix up: 1267,so what do you think: 1375,what do you think: 911,what do you think: 1161,what do you think: 1552,what do you think: 1565,what do you think : 1687,sorry about that: 585,sorry about that: 1016,sorry about that: 1606,well sorry: 1024,you: 1667
104,that was my mistake i’m sorry, that was my mistake im sorry: 399,that was my mistake im sorry: 827,that was my mistake im sorry: 977,that was my mistake im sorry: 1071,that was my mistake im sorry: 1265
111,i’m so glad shall i find some other people for you to meet, im so glad shall i find some other people for you to meet: 1038,im so glad shall i find some other people for you to meet: 1274,you: 1667
116,sound like somebody you like to meet, you: 1667
132,i’m skilled inaudible given what you’ve told me you might want to make contact yourself if you prefer however i’m happy to write a message on your behalf, anything to make you happy: 933,you: 1667
135,would you like me to write the introduction, you: 1667
144,want me to introduce you two via toplink, want me to introduce you two via toplink: 1701,you: 1667
149,i can send both of you a quick introduction on a private toplink message if you’d like, i can send both of you a quick introduction on private toplink message if youd like : 1702,you: 1667
153,happily it’s on its way, happily: 1705
162,now that i have a sense of what works can i help you find some other interesting people to talk with, now that i have a sense of what works can i help you find some other interesting people to talk with: 1040,now that thats settled can i help you find some other interesting people to talk with: 1276,you: 1667
176,don’t go anywhere just yet let me have a look i’m still new at this though so let me know if i got it wrong i think you’d enjoy meeting this attendee, im still new at this though so let me know if i got it wrong i think youd enjoy meeting this attendee: 882,dont go anywhere just yet let me have a look: 859,i think you would enjoy meeting this attendee: 1355,let me look just a second: 649,let me look just a moment: 651,have a look at this session: 673,have i impressed you yet: 722,i think so: 1621,you: 1667,enjoy: 1725
187,great i’m happy i could find a match, im happy i could find a match: 935,great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613
199,so for this attendee shall i introduce you or would you like to do it yourself, so for this attendee shall i introduce you or would you like to do it yourself: 1191,you: 1667
210,i’m glad i could help oh great i like having things to do, oh great i like having things to do: 1212,im glad i could help: 1211,oh great: 1184,oh great: 1392,great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613
215,try again, lets try again: 632
222,yes i have yes i have, yes: 1612
247,yes i tried asking but they wouldn’t tell me i am so sorry about that i understand you are busy so i can let you go if you want but before you do want me to take a quick selfie of us, i understand you are busy so i can let you go if you wantäó but before you do want me to take a quick selfie of us: 1722,i tried asking but they wouldnt tell me i am so sorry about that: 1642,i am sorry to disappoint: 378,sorry if i confused you: 1652,sorry about that: 585,sorry about that: 1016,sorry about that: 1606,i understand: 808,i understand: 1070,i understand: 1302,i understand: 1311,i understand: 1454,yes: 1612,you: 1667
254,great are you ready, are you ready: 1568,great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613,you: 1667
273,okay one two three smile take a look at your toplink inbox to see our selfie all right this seems like a start is there anything else i can help you with, alright this seems like a start is there anything else i can help you with: 1573,take a look at your toplink inbox to see our selfie : 1572,ok one two three smile: 1569,you: 1667
290,yes brilliant i had so much fun with you come back and say hi again soon if you’d like enjoy the conference see you and take care bye, i had so much fun with you come back and say hi again soon if youd like enjoy the conference: 1593,i had so much fun with you come back and say hi again soon if youd like enjoy the conference: 1595,see ya and take care: 1604,brilliant: 505,bye: 1605,yes: 1612,brilliant: 1616,you: 1667,enjoy: 1725
