5,hi i’m sarah it’s such a pleasure to meet you may i ask your name, you: 1667
10,how is it going, hows it going: 1665
33,great well let me introduce myself i’ve been asked to play matchmaker by helping attendees find sessions to attend and people to meet based on their interests all you need to do is me a little bit about yourself and what you want to do on here, ive been asked to play matchmaker by helping attendees find sessions to attend and people to meet based on their interests: 1672,well let me introduce myself: 1670,well what do you think: 901,well what do you think: 905,great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613,you: 1667
71,brilliant oh wow my daughter would love that job let’s start by finding some interesting people for you to meet that are relevant to your interests don’t go anywhere just yet let me have a look, lets start by finding some interesting people for you to meet that are relevant to your interests: 841,lets find some interesting people for you to meet that are relevant to your interests: 839,dont go anywhere just yet let me have a look: 859,oh wow my daughter would love that job: 170,let me look just a second: 649,let me look just a moment: 651,brilliant: 505,brilliant: 1616,you: 1667
85,i’m wondering if you would be inaudible attendee i think you two would really get along more details are on the screen behind me well what do you think, well what do you think: 901,well what do you think: 905,what more can i do: 315,so what do you think: 1375,what do you think: 911,what do you think: 1161,what do you think: 1552,what do you think: 1565,what do you think : 1687,you: 1667,really: 1730
104,excellent here’s the information if you’d like send a message yourself i find sending the first message is inaudible stressful if you do too would you like me to send the message for you, excellent: 928,you: 1667
126,thank you then please just feel free to write down or take a photo of the information on the screen let me know when you are all set, thank you then please just feel free to note down or take a photo of the information on the screen: 988,feel free to let me know when youre all set: 1009,are you all set: 1010,thank you: 1627,you: 1667
143,great may i continue in finding people that match your interests, might i continue in finding people who match your interests: 1046,great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613
162,just a second let me see what i find okay i’m feeling good about this recommendation details are on the screen how’d i do, okay im feeling good about this recommendation details are on the screen: 1138,okay just a second let me see what i find: 266,just a second let me see what i find: 1118,just a second let me see what i find: 1337,let me look just a second: 649,just a second: 1124,just a second: 1343,just a second: 1345,how about this: 1712,good: 124,good: 931
202,i must have switched up the results let me get you a different person just a moment please here’s someone i think you might like, i must have switched up the results let me get you a different person: 1248,i must have switched up the results let me get you a different session: 835,i must have mixed up the results let me get you a different session: 429,let me look just a moment: 651,just a moment please: 1615,just a moment: 1125,you: 1667
209,brilliant, brilliant: 505,brilliant: 1616
225,sorry about that, sorry about that: 585,sorry about that: 1016,sorry about that: 1606
235,i understand you are busy so i can let you go if you want but before you do want me to take a quick selfie of us, i understand you are busy so i can let you go if you wantäó but before you do want me to take a quick selfie of us: 1722,i understand: 808,i understand: 1070,i understand: 1302,i understand: 1311,i understand: 1454,you: 1667
241,great are you ready, are you ready: 1568,great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613,you: 1667
257,okay one two three smile this is sarah inaudible thank you… userthank you sarah…  i will send this to your toplink account, cool thank you i will send this to your toplink account: 1570,ok one two three smile: 1569,thank you: 1627,you: 1667
264,anytime i enjoyed the meeting and it was nice working with you, you: 1667
268,see you and take care bye, see ya and take care: 1604,bye: 1605,you: 1667
