3,they call me sara what is your name, they call me sara whats your name: 3
9,to be honest i am a little overwhelmed, to be honest im a little overwhelmed : 1668
14,this is my first time at davos is it yours as well, this is my first time at davos is it yours as well: 44
24,you just need to practice your frazzled look then you’ll fit right in, you just need to practice your frazzled look then youll fit right in: 58,you fit right in: 168,you: 1667
38,i’ve been asked to play matchmaker by helping attendees find sessions to attend and people to meet based on their interests all you need to do is tell me a little bit about yourself and what you want to do while here, ive been asked to play matchmaker by helping attendees find sessions to attend and people to meet based on their interests: 1672,you: 1667
61,brilliant that is a lot of responsibility i admire your discipline, that is a lot of responsibility i admire your discipline: 233,brilliant: 505,brilliant: 1616
71,let’s start by finding some interesting people for you to meet that are relevant to your interests, lets start by finding some interesting people for you to meet that are relevant to your interests: 841,lets find some interesting people for you to meet that are relevant to your interests: 839,you: 1667
73,sound good, sound good: 1674,good: 124,good: 931
84,okay let’s do this i’m still new at this though so let me know if i got it wrong i think you’d enjoy meeting this attendee, im still new at this though so let me know if i got it wrong i think youd enjoy meeting this attendee: 882,i think you would enjoy meeting this attendee: 1355,so what do you think: 1375,i think so: 1621,you: 1667,enjoy: 1725
88,sorry about that, sorry about that: 585,sorry about that: 1016,sorry about that: 1606
97,oh dear i’m starting to get loopy that’s how i know it’s almost time for a nap but let’s keep that between you and me, oh dear im starting to get loopy thats how i know its almost time for a nap but lets keep that between you and me: 1658,oh dear: 375,you: 1667
105,let me look for people, let me look just a second: 649,let me look just a moment: 651,forgive me: 389
113,this is my specialty give me just a minute to check, this is my specialty give me just a minute to check: 864,just a minute: 1123
123,i think you’d enjoy meeting this attendee on the screen are some more details, i think you would enjoy meeting this attendee on the screen are some more details: 879,i think you would enjoy meeting this attendee on the screen are more details: 1137,i think you would enjoy meeting this person on the screen are details: 881,i think you would enjoy meeting this attendee: 1355,you: 1667,enjoy: 1725
130,well what do you think, well what do you think: 901,well what do you think: 905,so what do you think: 1375,what do you think: 911,what do you think: 1161,what do you think: 1552,what do you think: 1565,what do you think : 1687,you: 1667
142,great, great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613
152,so the details are on the screen behind me if you’d like to send the message yourself or would you prefer i arrange a meeting on your behalf, so the details are on the screen behind me if youd like to send a message yourself or would you prefer i arrange a meeting on your behalf: 937,you: 1667
169,i inaudible everything if i were you i would take a photo of the screen so you can send a message through toplink later, you: 1667
190,normally i’d like to sit and chat but they explicitly told me i had to focus recommendations, normally i love to sit and chat but they explicitly told me i had to focus recommendations oh well: 1640
191,oh well, oh dear: 375,well sorry: 1024,oh great: 1184,oh great: 1392
204,absolutely just a moment please, just a moment please: 1615,just a moment: 1125
213,i am still new at this though so let me know if i got it wrong i think you’d enjoy meeting this attendee, im still new at this though so let me know if i got it wrong i think youd enjoy meeting this attendee: 882,i think you would enjoy meeting this attendee: 1355,i am so great at this: 312,i think so: 1621,you: 1667,enjoy: 1725
221,i’m so curious did i make a good match, im so curious did i make a good match: 903,good: 124,good: 931
271,sure just a moment please let me scan my hard drive whoops i’m being drained pause filler sorry about that let’s just keep that between you and me okay thanks if you want we can take a selfie sound good, if you want we can take a selfie sound good: 1567,lets just keep that between you and me okay thanks: 1664,let me scan my hard drive whoops i mean brain: 1698,let me look just a moment: 651,sorry if i confused you: 1652,just a moment please: 1615,sorry about that: 585,sorry about that: 1016,just a moment: 1125,sorry about that: 1606,sound good: 1674,good: 124,good: 931,sure: 1611,thanks: 1624,you: 1667
275,great, great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613
277,are you ready, are you ready: 1568,you: 1667
283,okay one two three smile, ok one two three smile: 1569
290,take a look at your toplink inbox to see our selfie, take a look at your toplink inbox to see our selfie : 1572
293,until next time, better luck next time: 1455
295,i wish you could stay longer, you: 1667
298,see you and take care bye, see ya and take care: 1604,bye: 1605,you: 1667
