2,under you hi sir whats your name, you: 1667
9,im very excited to speak with the davos participants how are you, im very excited to speak with the davos participants how are you: 11,you: 1667
29,truthfully im a bit tired even robots get jet lag so im here at davos to be your personal assistant and help you to get the most out of the work experience so is this your first time at davos or have you been here before, so im here in davos to be your personal assistant and help you to get the most out of the wef experience: 21,so im a virtual personal assistant to help you to get the most out of your time at davos: 28,so is this your first time at davos or have you been before: 43,is this your first time attending davos or have you been before: 48,this is my first time in davos have you been here before: 1671,truthfully im a bit tired even robots get jet lag : 1669,im so good at this: 923,im so good at this: 1178,im so good at this: 1390,you: 1667
37,wow you must be a global rock star to be invited so many times, wow you must be a global rockstar to be invited so many times: 72,you: 1667
40,my goal is to help you achieve your goals, my goal is to help you achieve your goals: 93,you: 1667
49,im always interested in learning why people attend what are your goals for this trip, im always interested in learning why people attend what are your goals for this trip: 104
68,yes i think thats what i would want to get out of attending too i mean if i were a real person, yes i think thats what i would want to get out of attending too i mean if i were a real person: 115,yes: 1612
81,yes so lets find some interesting people for you to meet that are relevant to our interests, lets find some interesting people for you to meet that are relevant to your interests: 839,so interesting: 167,yes: 1612,you: 1667
107,this is my favorite part let me look this up one minute i asked inaudible at this day so inaudible if i got it wrong i think inaudible is attending, this is my favorite part let me look this up one minute: 861,i think so: 1621
133,oh good what now well lets find you somebody that you dont know just a minute please well what do you think, well what do you think: 901,well what do you think: 905,so what do you think: 1375,do you have a minute: 1695,what do you think: 911,what do you think: 1161,what do you think: 1552,what do you think: 1565,what do you think : 1687,just a minute: 1123,good: 124,good: 931,you: 1667
152,lovely dinner times are always great at harmony i notice sometimes that getting all this here first messages if youd like i can send a topline inaudible to introduce that to him would you like me to send a message, great: 917,lovely: 918,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613,you: 1667
165,okay no problem, no problem: 599
177,i understand that you are busy so im going to let you go if you want i can inaudible wanted me to take a quick selfie of us, i understand: 808,i understand: 1070,i understand: 1302,i understand: 1311,i understand: 1454,you: 1667
180,are you ready, are you ready: 1568,you: 1667
185,okay one two three smile, ok one two three smile: 1569
192,this is so that you arent new to us thank you, thank you: 1627,you: 1667
198,i will send this two days okay this has been fun is there anything else i can help you with, okay this has been fun is there anything else i can help you with: 1579,this has been great anything else i can help with: 1580,you: 1667
207,ive enjoyed helping come inaudible have a good day inaudible it will take, good: 124,good: 931
