6,hi i am so glad youre here i am sara whats your name, hi im so glad youre here im sara whats your name: 2,hi im sara whats your name: 0
13,i’m very excited to speak with a davos participant how are you, you: 1667
30,truthfully im a bit tired even robots get jet lag so im here at davos to be your personal assistant and help you to get the most out of the work experience so is this your first time at davos or have you been before, so im here in davos to be your personal assistant and help you to get the most out of the wef experience: 21,so im a virtual personal assistant to help you to get the most out of your time at davos: 28,so is this your first time at davos or have you been before: 43,is this your first time attending davos or have you been before: 48,this is my first time in davos have you been here before: 1671,truthfully im a bit tired even robots get jet lag : 1669,im so good at this: 923,im so good at this: 1178,im so good at this: 1390,you: 1667
41,im sure youll enjoy it if you wouldn’t mind sharing your goals for attending davos this year i can try to help you achieve them, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91,would this help you achieve your goals: 709,mind if i try it again: 832,mind if i try it again: 982,mind if i try it again: 1088,mind if i try it again: 1269,im sure youll enjoy it: 53,mind if i try again: 401,sure: 1611,you: 1667,enjoy: 1725
64,excellent goals the sessions here are so diverse so you know about my job can you tell me a little bit about your work, so you know about my job can you tell me a little bit about your work: 162,can you tell me about your job: 164,the sessions here are so diverse: 151,excellent goals: 113,excellent: 928,you: 1667
87,id love to do something like that lets find some interesting sessions for you to attend that are relevant to your interests, lets find some interesting sessions for you to attend that are relevant to your interests: 239,lets find some interesting people for you to meet that are relevant to your interests: 839,lets find options for sessions you would like to attend: 251,id love to do something like that: 169,id love to do something like that: 212,you: 1667
112,wait just a second while i look one up my search capabilities are a little slow you may find this session interesting ive put the description of the session on the screen behind me does this look like a session youd like to attend, you may find this session interesting ive put the description of the session on the screen behind me: 273,wait just a second while i look one up my search capabilities are a little slow: 257,wait just a second while i get the details my search capabilities are a little slow: 1685,does this look like a session youd like to attend: 288,does this look like a session youd like to attend: 486,does this look like a session youd like to attend: 690,does this look like a session youd like to attend: 814,just hold on a moment while i look this up: 1560,just hold on a moment while i look this up: 1561,you may find this session interesting take a look: 470,would you find a session like this interesting: 681,just one minute while i look this up: 860,one moment while i look this up: 1119,one moment while i look this up: 1338,you may find this session interesting: 672,just a second while i look: 868,just a minute while i search: 267,allow me a second to search: 269,let me look just a second: 649,one second while i look: 872,hold on while i search: 1346,just a second: 1124,just a second: 1343,just a second: 1345,you: 1667
131,i had a feeling maybe its the robot version of a womans intuition, i had a feeling maybe its the robot version of a womens intuition: 306
146,and in fact i can send a message to the toplink private message app to remind you of the details of this session or you can just jot them down or take a photo of the screen would you like me to send you a reminder, would you like me to send you a message about this session: 743,want me to send you a toplink message with the session details: 1688,would you enjoy a session like this: 479,would you like to try this session: 498,would you enjoy this session: 494,you: 1667
159,okay look for a message from me in your toplink private message inbox shall we move on to finding you some people for you to meet who are as interesting as you, shall we move on to finding some people for you to meet who are as interesting as you: 235,ok look for a message from me in your toplink private message inbox: 341,okay youll see a message from me in your toplink inbox: 350,you: 1667
171,i understand you are busy so i can let you go if you want but before you do want me to take a quick selfie of us, i understand you are busy so i can let you go if you wantäó but before you do want me to take a quick selfie of us: 1722,i understand: 808,i understand: 1070,i understand: 1302,i understand: 1311,i understand: 1454,you: 1667
174,are you ready, are you ready: 1568,you: 1667
186,okay one two three smile cool thank you, ok one two three smile: 1569,thank you: 1627,cool: 178,cool: 217,you: 1667
188,i will send this to your toplink account, cool thank you i will send this to your toplink account: 1570
193,until next time i wish you could stay longer, until next time i wish you could stay longer: 1574,you: 1667
196,see ya and take care, see ya and take care: 1604
