4,hi im so glad youre here i am sara whats your name, hi im so glad youre here im sara whats your name: 2,hi im sara whats your name: 0,im so glad: 305,im so glad: 504,im so glad: 711,im so glad: 919,im so glad: 1176,im so glad: 1389,im sara: 1
9,its an honor to meet you how are you, its an honor to meet you how are you: 18,you: 1667
23,so ive been asked to help you go get the most out of davos but the truth is that i feel a little nervous its a big deal to be invited to davos is this your first time here, so ive been asked to help people get the most out of davos but the truth is that i feel a little nervous: 24,its a big deal to be invited to davos is this your first time here: 51,you: 1667
29,i am finding it a little bit overwhelming i imagine that you are too, im finding it a bit overwhelming i imagine that you are too: 55,you: 1667
39,i am sure your schedule is already quite full so i would like to help make your annual meeting attendance worthwhile, i am sure your schedule is already quite full still i would like to help make your annual meeting attendance worthwhile: 101,sure: 1611
47,im always interested in learning why people attend what are your goals for this trip, im always interested in learning why people attend what are your goals for this trip: 104
65,its such an honor to be surrounded by interesting people like you so you know about my job can you tell me a little bit about your work, so you know about my job can you tell me a little bit about your work: 162,its such an honor to be surrounded by interesting people like you: 160,its so great to be surrounded by such interesting people: 12,can you tell me about your job: 164,wouldnt you like to know: 1719,so interesting: 167,you: 1667
78,how fascinating, how fascinating: 177,how fascinating: 1618,how fascinating: 1682
93,lets find some interesting sessions for you to attend that are relevant to your interests just a minute while i look one up ill go as fast as i can, lets find some interesting sessions for you to attend that are relevant to your interests: 239,just a minute while i look one up ill go as fast as i can: 258,lets find some interesting people for you to meet that are relevant to your interests: 839,just one minute while i look this up: 860,just a minute while i search: 267,just a second while i look: 868,one second while i look: 872,ill just be one minute: 1342,just a minute: 1123,lets go: 1058,you: 1667
102,i wonder if this session would be fulfilling the details are on the screen, i wonder if this session would be fulfilling the details are on the screen: 287
117,oh i appreciate that would it be more convenient for you if i send you a message to your top link account with all of the session details, would it be more convenient for you if i sent you a message to your toplink account with all of the session details: 339,would it be more convenient for you if i sent you a message to your toplink account with all of the session details: 356,you: 1667
131,okay sending the message to top link now with my super special administrative powers would i be able to try again to help you find a session, would i be able to try again to help you find a session: 421,ok sending the message to toplink now with my super special administrative powers: 342,you: 1667
152,all right my personal philosophy is never give up ill try again here is one i think would benefit from your attendance and i think you would enjoy it as well i projected it behind me, alright my personal philosophy is never give up ill try again: 424,you: 1667,enjoy: 1725
165,i really thought it would work out great shall we move on to finding some people for you to meet who are as interesting as you, shall we move on to finding some people for you to meet who are as interesting as you: 235,i really thought it would work out great: 508,great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613,you: 1667,really: 1730
172,im very good at introducing people lets find you someone interesting to meet, im very good at introducing people lets find you someone interesting to meet: 843,good: 124,good: 931,you: 1667
187,it would be my honor to introduce you to inaudible the details are behind me, it would be my honor to introduce you to personname the details are behind me: 896,you: 1667
193,im so curious did i hit a good match, im so curious did i make a good match: 903,good: 124,good: 931
219,lovely so i can do one of two things i can send a message to the attendee introducing you or i can give you the information and you can reach out yourself would you like me to send a message introducing you, lovely: 918,you: 1667
229,thank you then you please just feel free to note down or take a photo of the information on the screen, thank you then please just feel free to note down or take a photo of the information on the screen: 988,thank you: 1627,you: 1667
235,let me find some else who better matches your interests, let me find someone else who better matches your interests: 1099,let me find someone else who better matches your interests: 1100,let me find someone else who better matches your interests: 1317
243,okay im feeling good about this recommendation details are on the screen, okay im feeling good about this recommendation details are on the screen: 1138,good: 124,good: 931
252,what do you think, well what do you think: 901,well what do you think: 905,so what do you think: 1375,what do you think: 911,what do you think: 1161,what do you think: 1552,what do you think: 1565,what do you think : 1687,you: 1667
268,great so for this attendee shall i introduce you or would you like to do it yourself, so for this attendee shall i introduce you or would you like to do it yourself: 1191,great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613,you: 1667
280,okay no problem shall we move on to finding interesting places to ease your hunger, no problem: 599
288,lets find something decent for you to eat shall we, lets find something decent for you to eat shall we: 1482,lets find you something decent to eat: 1468,lets find you something tasty to eat: 1470,you: 1667
299,if you are healthy not like me there is the health bar on the lower level of the congress center produces coffee and tea ive put up a map on the screen behind me, you: 1667
323,will that keep you from starving just for the moment oh good i am always cranky if i dont eat a snack around i understand that you are busy so i can let you go if you want but before you do you want me to take a quick selfie of us, i understand you are busy so i can let you go if you wantäó but before you do want me to take a quick selfie of us: 1722,oh good i am always cranky if i dont keep a snack around: 1527,will that keep you from starving just for the moment: 1513,will that keep you from starving just for the moment: 1522,if you want we can take a selfie sound good: 1567,i understand dont let me stop you: 1092,let me look just a moment: 651,just a moment: 1125,i understand: 808,i understand: 1070,i understand: 1302,i understand: 1311,i understand: 1454,good: 124,good: 931,you: 1667
329,are you ready, are you ready: 1568,you: 1667
343,okay one two three smile cool thank you i will send this to your top link account, cool thank you i will send this to your toplink account: 1570,ok one two three smile: 1569,thank you: 1627,cool: 178,cool: 217,you: 1667
349,all right this seems like a start is there anything else i can help you with, alright this seems like a start is there anything else i can help you with: 1573,you: 1667
356,ive enjoyed helping you come back if you need anything have a good meeting, ive enjoyed helping you come back if you need anything have a good meeting: 1594,good: 124,good: 931,you: 1667
358,bye, bye: 1605
